plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
Rhone.Isere_7183.50083,5.7792209,45.19404877,19.1,22.03,15.83,45.4,32.3,27.2276,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.50181,5.783272041,45.28289275,24.3,20.55,46.4,42.68,36.88,79.808,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.50182,5.783116557,45.28298797,24.3,20.55,46.4,42.68,36.88,79.808,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.50183,5.78346055,45.28447102,28.85,25.8,35.48,39.6,34.73,61.0256,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49938,5.774161834,45.0644091,19.03,21.7,24.78,45.28,33.35,42.6216,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49941,5.77467816,45.06621817,18.05,21.78,22.2,44.5,33.73,38.184,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49942,5.774282785,45.06788533,18.05,21.78,22.2,44.5,33.73,38.184,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49943,5.77380334,45.06883294,18.18,21.8,20.28,45.3,32.93,34.8816,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49944,5.773984892,45.0694706,18.6,21.78,20.45,44.53,33.73,35.174,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49945,5.774450423,45.07011462,18.6,21.78,20.45,44.53,33.73,35.174,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49946,5.774387894,45.07126437,19.2,22.25,18.7,45.48,32.93,32.164,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49947,5.774160912,45.07197557,19.2,22.25,18.7,45.48,32.93,32.164,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7184.49950,5.774944369,45.07445255,18.1,20.68,18.95,46.53,33.38,32.594,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49942,5.775077473,45.06713795,18.05,21.78,22.2,44.5,33.73,38.184,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49943,5.775009915,45.06876547,18.6,21.78,20.45,44.53,33.73,35.174,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49944,5.775718689,45.06959653,18.6,21.78,20.45,44.53,33.73,35.174,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49945,5.775781218,45.07033343,18.6,21.78,20.45,44.53,33.73,35.174,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49946,5.775708128,45.07070471,19.2,22.25,18.7,45.48,32.93,32.164,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49947,5.776339453,45.07230816,17.65,21.08,20.43,45.45,33.7,35.1396,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7185.49949,5.775519535,45.07378568,18.1,20.68,18.95,46.53,33.38,32.594,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7186.49862,5.773919262,44.99568588,20.5,21.13,24.93,43.63,35.38,42.8796,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7186.49950,5.777797569,45.07430783,17.4,21.58,19.8,45.6,32.8,34.056,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7186.50185,5.787623758,45.28618135,24.8,16.7,91.1,38.13,45.28,156.692,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
